2767052,"['young-adult', 'fiction', 'dystopia', 'fantasy', 'science-fiction', 'romance', 'adventure', 'teen', 'post-apocalyptic', 'action']"
3,"['fantasy', 'young-adult', 'fiction']"
41865,"['young-adult', 'fantasy', 'romance', 'vampires', 'fiction', 'paranormal']"
2657,"['classics', 'fiction', 'historical-fiction', 'school', 'literature', 'young-adult', 'historical', 'novels', 'read-for-school', 'high-school']"
4671,"['classics', 'fiction', 'school', 'literature', 'historical-fiction', 'romance', 'novels', 'read-for-school', 'high-school', 'american']"
11870085,"['young-adult', 'fiction', 'romance', 'contemporary']"
5907,"['fantasy', 'classics', 'fiction', 'adventure', 'young-adult', 'science-fiction-fantasy', 'high-fantasy', 'childrens', 'epic-fantasy', 'novels']"
5107,"['classics', 'fiction', 'young-adult', 'literature', 'school', 'novels', 'coming-of-age', 'american', 'high-school', 'read-for-school']"
960,"['fiction', 'mystery', 'thriller', 'suspense', 'mystery-thriller', 'adventure', 'crime', 'historical-fiction', 'novels', 'adult']"
1885,"['classics', 'fiction', 'romance']"
77203,"['fiction', 'historical-fiction', 'contemporary', 'classics', 'novels', 'literature', 'historical', 'adult', 'adult-fiction', 'drama']"
13335037,"['young-adult', 'dystopia', 'fiction', 'fantasy']"
5470,"['classics', 'fiction', 'science-fiction', 'dystopia', 'literature', 'novels', 'politics', 'school', 'fantasy', 'adult']"
7613,"['classics', 'fiction', 'dystopia', 'fantasy', 'literature']"
48855,"['non-fiction', 'classics', 'history', 'biography', 'memoir', 'historical', 'holocaust', 'autobiography', 'war', 'world-war-ii']"
2429135,"['fiction', 'mystery', 'thriller', 'crime', 'mystery-thriller', 'suspense', 'contemporary', 'adult', 'adult-fiction', 'novels']"
6148028,"['young-adult', 'dystopia', 'fiction', 'fantasy', 'science-fiction', 'romance', 'adventure', 'teen', 'post-apocalyptic', 'action']"
5,"['fantasy', 'young-adult', 'fiction', 'magic', 'childrens', 'adventure', 'middle-grade', 'audiobook', 'classics', 'science-fiction-fantasy']"
34,"['fantasy', 'classics', 'fiction', 'adventure', 'science-fiction-fantasy', 'high-fantasy', 'epic-fantasy', 'young-adult', 'novels', 'magic']"
7260188,"['young-adult', 'dystopia', 'fiction', 'fantasy', 'science-fiction', 'romance', 'adventure', 'teen', 'post-apocalyptic', 'science-fiction-fantasy']"
2,"['fantasy', 'young-adult', 'fiction', 'magic', 'childrens', 'adventure', 'audiobook', 'middle-grade', 'science-fiction-fantasy', 'classics']"
